Year,Company,Market_Cap
2021,DAL,27155527610.859375
2022,DAL,17882751724.398438
2023,DAL,23629777570.140625
2020,XRAY,8381525307.518005
2021,XRAY,11206027352.668762
2022,XRAY,5539905272.022247
2023,XRAY,6778959257.553101
2020,DVN,4936747952.940063
2021,DVN,19447811706.519775
2022,DVN,35486625001.072266
2023,DVN,29998520092.5083
2020,DLR,41572939800.725586
2021,DLR,42248205021.143555
2022,DLR,30061055152.78174
2023,DLR,38325947441.54199
2020,DFS,13282527113.28125
2021,DFS,28752743526.367188
2022,DFS,21704144995.60547
2023,DFS,21221928226.5625
2020,DG,43768411987.47266
2021,DG,44624649675.17578
2022,DG,50884794667.84375
2023,DG,22688238363.1875
2020,DLTR,19637368492.67578
2021,DLTR,20579034502.441406
2022,DLTR,29260412512.20703
2023,DLTR,22885897743.896484
2020,D,55873319658.993164
2021,D,53438033207.688965
2022,D,52300222926.83008
2023,D,35546236726.04053
2020,DOV,14100372676.086426
2021,DOV,20526538370.97168
2022,DOV,15604101657.119751
2023,DOV,18940632636.535645
2020,DOW,27091029129.164307
2021,DOW,34647684186.27954
2022,DOW,27736391231.51172
2023,DOW,34325178269.10498
2020,DTE,17776588426.818848
2021,DTE,20955354371.33789
2022,DTE,22207671218.26172
2023,DTE,19831142521.362305
2020,DD,21493163606.506348
2021,DD,26780203145.72046
2022,DD,20227725827.913208
2023,DD,30531705015.129883
2020,DUK,58221043815.05469
2021,DUK,66718064070.01172
2022,DUK,66045657079.65625
2023,DUK,65348818314.1875
2020,DNB,10886978193.860352
2021,DNB,7132115005.0998535
2022,DNB,5275200006.824097
2023,DNB,4330572458.807617
2020,EMN,8033570442.810059
2021,EMN,10615824093.933105
2022,EMN,7720988309.173584
2023,EMN,8666838199.310303
2020,ETN,37652517411.8042
2021,ETN,56337206300.354004
2022,ETN,51387659907.53174
2023,ETN,83771694122.31445
2020,EBAY,23729486824.035645
2021,EBAY,32103387977.600098
2022,EBAY,17238231193.54248
2023,EBAY,21107883178.710938
2020,ECL,54415618728.24414
2021,ECL,57307198651.98047
2022,ECL,40157229141.3125
2023,ECL,47720244935.33203
2020,EIX,16491988199.579224
2021,EIX,18821073988.12976
2022,EIX,20040882041.458374
2023,EIX,23428189190.914673
2020,EW,48083567816.16211
2021,EW,68197703448.48633
2022,EW,49776310345.458984
2023,EW,41734271264.64844
2020,EA,33698930516.052246
2021,EA,36940804727.17285
2022,EA,30214849455.26123
2023,EA,31637290870.666504
2020,EMR,34289366806.030273
2021,EMR,50407307983.39844
2022,EMR,40078569152.83203
2023,EMR,54114908538.81836
2020,ETR,18002623959.499756
2021,ETR,18814236229.808838
2022,ETR,19764051014.855713
2023,ETR,18935800084.492676
2020,EOG,16563647216.415405
2021,EOG,38493107717.89551
2022,EOG,58218736749.26758
2023,EOG,69215762332.15332
2020,EQT,7332364086.738281
2021,EQT,11602487917.46228
2022,EQT,23405445663.85547
2023,EQT,23691925336.308838
2020,EFX,18866260302.612305
2021,EFX,30702332963.012695
2022,EFX,20920525993.896484
2023,EFX,22524428593.87207
2020,EQIX,67129858558.95996
2021,EQIX,70858930061.64551
2022,EQIX,51891765557.25098
2023,EQIX,67522758400.268555
2020,EQR,16763916275.390625
2021,EQR,27334380220.703125
2022,EQR,23434662797.851562
2023,EQR,21388487743.164062
2020,ESS,11221895765.945435
2021,ESS,18408578023.587036
2022,ESS,14363995811.946106
2023,ESS,13126633211.177063
2020,EL,48380203193.96973
2021,EL,66969744449.95117
2022,EL,48626226473.87695
2023,EL,32992843474.609375
2020,ES,25983428374.321045
2021,ES,26158300860.14502
2022,ES,25676649655.602295
2023,ES,19857254060.675415
2020,EXC,22177771554.19287
2021,EXC,31065836204.64746
2022,EXC,34774358274.2207
2023,EXC,36321487604.009766
2020,EXPE,11429708944.335938
2021,EXPE,20431117639.160156
2022,EXPE,11679020944.335938
2023,EXPE,12848293881.958008
2020,EXPD,12213425056.396484
2021,EXPD,16243476189.941406
2022,EXPD,12170182856.628418
2023,EXPD,15986991511.657715
2020,EXR,19635725901.824463
2021,EXR,31737035944.415527
2022,EXR,33647507768.568848
2023,EXR,24716546920.648193
2020,XOM,127225593708.58594
2021,XOM,233828799226.54688
2022,XOM,362783873725.15625
2023,XOM,504692207851.46875
2020,FFIV,7155575592.34314
2021,FFIV,11585772960.85205
2022,FFIV,8435500962.982178
2023,FFIV,9391948180.426025
2020,FAST,23171496366.058105
2021,FAST,27338172007.844727
2022,FAST,24939891329.637207
2023,FAST,30380878240.930664
2020,FRT,5207540827.124023
2021,FRT,8710263421.45996
2022,FRT,6922387608.984375
2023,FRT,7274567782.324219
2020,FDX,57295724982.8916
2021,FDX,50462614098.75098
2022,FDX,34750772445.96875
2023,FDX,63437431131.609375
2020,FIS,73645984470.7539
2021,FIS,61532135456.71924
2022,FIS,38939990833.5957
2023,FIS,29465998796.753662
2020,FITB,12235887417.723145
2021,FITB,25449936353.256836
2022,FITB,19793005464.311523
2023,FITB,16478308405.235352
2020,FSLR,7086511073.318481
2021,FSLR,10218706521.995544
2022,FSLR,14159107147.354126
2023,FSLR,17297724337.982178
2020,FE,13966750725.145142
2021,FE,18149029763.003906
2022,FE,19584407832.448486
2023,FE,18845031427.940674
2020,FLS,3274974698.238373
2021,FLS,4251102351.5319824
2022,FLS,3062487236.186981
2023,FLS,5132369691.78009
2020,FLR,1509047351.8753052
2021,FLR,2735469405.7388306
2022,FLR,4263358215.4541016
2023,FLR,6286269730.682373
2020,FMC,11983706825.8667
2021,FMC,10548519382.324219
2022,FMC,12408043857.788086
2023,FMC,8051639403.076172
2020,FTI,1989276159.8725586
2021,FTI,3190509360.428711
2022,FTI,3584556168.8427734
2023,FTI,8641839774.222656
2020,FL,2766437098.1260986
2021,FL,3877891485.7231445
2022,FL,2760268417.2280273
2023,FL,1614304369.505249
2020,F,21479933525.853516
2021,F,45669056075.36279
2022,F,37100098523.18408
2023,F,45231139643.79639
2020,FTV,21974401886.230957
2021,FTV,24411377389.22754
2022,FTV,20253638613.03369
2023,FTV,25869520468.195312
2020,BEN,8897776474.513184
2021,BEN,13503757738.996582
2022,BEN,10209092090.992676
2023,BEN,12217647951.88623
2020,FCX,21418866297.289307
2021,FCX,44742801018.887695
2022,FCX,38129788435.773926
2023,FCX,52858097070.51709
2020,GPS,5466344031.985474
2021,GPS,7371666161.729736
2022,GPS,2774992801.491211
2023,GPS,3825346106.720215
2020,GRMN,16598930977.584839
2021,GRMN,27710547617.218018
2022,GRMN,14705724557.754517
2023,GRMN,19829886535.90393
2020,GD,34612673989.77832
2021,GD,50389337301.697266
2022,GD,55786257655.958984
2023,GD,59441879033.21484
2020,GE,33123788138.460938
2021,GE,68693106016.30078
2022,GE,41451198393.328125
2023,GE,95134785699.91406
2020,GIS,30128081859.890625
2021,GIS,30224929299.204346
2022,GIS,39893838713.427246
2023,GIS,34242555240.06665
2020,GM,32492535603.33252
2021,GM,57880413704.22363
2022,GM,35318211899.41406
2023,GM,36652472457.27539
2020,GPC,11929336527.72522
2021,GPC,15635158976.135254
2022,GPC,19765717865.93628
2023,GPC,19559708516.204834
2020,GILD,66552136977.265625
2021,GILD,76797244892.93164
2022,GILD,71051713909.23242
2023,GILD,89574040711.85938
2020,GPN,43825626563.884766
2021,GPN,39062297877.42578
2022,GPN,26992846839.066406
2023,GPN,29103253690.603516
2020,GS,57479864572.143555
2021,GS,110038210504.15039
2022,GS,87441057080.07812
2023,GS,99444319403.07617
2020,GT,2183549373.079895
2021,GT,5038960258.79895
2022,GT,2872491954.15979
2023,GT,3538659596.31958
2020,GWW,16595634605.758667
2021,GWW,18567434156.314087
2022,GWW,23423597629.96521
2023,GWW,33490857079.01001
2020,HAL,10037944027.451355
2021,HAL,18169843072.304565
2022,HAL,20949733639.553467
2023,HAL,35046546967.86597
2020,HBI,4994034815.849487
2021,HBI,5637897706.700684
2022,HBI,2393812806.5407715
2023,HBI,1392672581.7357178
2020,HOG,3027224254.9705505
2021,HOG,4570226219.432831
2022,HOG,4426219558.010101
2023,HOG,4267685803.1082153
2020,HIG,9874133283.164062
2021,HIG,19284662290.41797
2022,HIG,17387410397.039062
2023,HIG,20373324533.82422
2020,HAS,9852553490.14917
2021,HAS,10940434847.332275
2022,HAS,8529659455.977905
2023,HAS,8760142298.622559
2020,HCA,31043162514.938354
2021,HCA,60972742965.60669
2022,HCA,46627835769.31763
2023,HCA,62978490974.79248
2022,HCP,5051737692.002563
2023,HCP,3582826220.666809
2020,HP,1227745890.5395508
2021,HP,2394205711.7412567
2022,HP,3325832512.2039795
2023,HP,3977680537.359619
2020,HSIC,7447896085.327148
2021,HSIC,9650081744.018555
2022,HSIC,8333584734.649658
2023,HSIC,9408069000.0
2020,HES,11968952356.68335
2021,HES,23168611552.561523
2022,HES,32756812942.526855
2023,HES,46536207779.17383
2020,HPE,10739687754.954712
2021,HPE,16897926925.991821
2022,HPE,14672758729.694458
2023,HPE,21929075352.583008
2020,HOLX,15439120123.535156
2021,HOLX,17143995752.929688
2022,HOLX,14986188660.27832
2023,HOLX,16119677154.418945
2020,HD,250258362685.76953
2021,HD,302387329518.3633
2022,HD,260090411286.26953
2023,HD,292536214105.9746
2020,HON,98704972545.38965
2021,HON,129511694940.64453
2022,HON,103915752902.6836
2023,HON,117398537164.66113
2020,HRL,24215027608.161133
2021,HRL,20724549470.604492
2022,HRL,23463689980.01172
2023,HRL,20142831005.58203
2020,HST,6751197775.802612
2021,HST,10217523763.084412
2022,HST,10061127805.82428
2023,HST,10686982943.954468
2020,HPQ,16120575406.49414
2021,HPQ,23875053542.907715
2022,HPQ,22385288958.068848
2023,HPQ,23931389302.001953
2020,HUM,48361226266.29639
2021,HUM,45768291593.444824
2022,HUM,57441153057.49512
2023,HUM,58011346623.22998
2020,HBAN,11052192899.893616
2021,HBAN,19428078999.586914
2022,HBAN,17300850659.243164
2023,HBAN,14411422657.265747
2020,IDXX,32355272715.78711
2021,IDXX,51186043707.021484
2022,IDXX,26815262518.489258
2023,IDXX,35989901737.84033
2020,ITW,52386291627.50244
2021,ITW,57245532913.20801
2022,ITW,51274475062.561035
2023,ITW,66876099813.84277
2020,ILMN,47895371932.9834
2021,ILMN,62853767358.39844
2022,ILMN,29565026037.597656
2023,ILMN,21273059481.811523
2020,IR,14307993247.207642
2021,IR,20260281122.08557
2022,IR,17414869608.459473
2023,IR,25685702106.61316
2020,INTC,198716001556.39648
2021,INTC,209841000518.79883
2022,INTC,104840222496.03271
2023,INTC,149511205169.67773
2020,ICE,54491676289.38428
2021,ICE,63248029749.26953
2022,ICE,50425716000.81299
2023,ICE,62354218116.237305
2020,IBM,88781882271.96094
2021,IBM,106598505259.70215
2022,IBM,100223825230.4502
2023,IBM,124301418415.00195
2020,IP,11151640837.006592
2021,IP,15980298363.030273
2022,IP,9952745033.70642
2023,IP,11737406940.0542
2020,IPG,5397769999.861786
2021,IPG,12321863461.011597
2022,IPG,8910097324.653503
2023,IPG,10326920212.297241
2020,IFF,27956817320.265625
2021,IFF,31266048077.0
2022,IFF,21816083858.679688
2023,IFF,17036337878.226562
2020,INTU,89187959792.23633
2021,INTU,148388336625.0
2022,INTU,107113278151.24512
2023,INTU,142351930886.71875
2020,ISRG,84045956281.27734
2021,ISRG,117758387008.23047
2022,ISRG,66607551628.52344
2023,ISRG,103866419019.83203
2020,IVZ,4358855387.4053955
2021,IVZ,9491375806.762695
2022,IVZ,5582882461.82251
2023,IVZ,6192985057.449341
2020,IRM,6505138482.788086
2021,IRM,11249158762.35962
2022,IRM,11957108923.797607
2023,IRM,16901202026.428223
2020,JBHT,12453944649.971008
2021,JBHT,16605544317.55066
2022,JBHT,15660729752.883911
2023,JBHT,19044231267.6239
2020,SJM,10868075784.622192
2021,SJM,11631757537.139893
2022,SJM,13714955033.355713
2023,SJM,12610687541.534424
2020,JNJ,320795171940.5508
2021,JNJ,356898995876.91797
2022,JNJ,370529529196.78125
2023,JNJ,363427701221.53125
2020,JCI,24975639553.063232
2021,JCI,42370141587.17432
2022,JCI,31376163006.414795
2023,JCI,34738818414.41699
2020,JPM,243396212827.26953
2021,JPM,425616668110.3594
2022,JPM,279479180083.53906
2023,JPM,400030372640.9844
2020,JNPR,6322324543.0625
2021,JNPR,8354987484.050781
2022,JNPR,8142707956.813965
2023,JNPR,8915532332.675293
2020,K,18091011723.507324
2021,K,18579299626.709473
2022,K,20956942402.904785
2023,K,18553212674.09668
2020,KEY,9120313837.69873
2021,KEY,17159734622.310059
2022,KEY,13191179761.287354
2023,KEY,9422844436.719238
2020,KMB,43160042954.58984
2021,KMB,40025490621.36841
2022,KMB,35236599860.13794
2023,KMB,39235034718.75
2020,KIM,6420762250.854492
2021,KIM,12252678113.891602
2022,KIM,11248820982.788086
2023,KIM,11264470048.095703
2020,KMI,21133845776.674805
2021,KMI,30782922805.666992
2022,KMI,32564957647.379883
2023,KMI,34560438910.7168
2020,KLAC,24777904053.344727
2021,KLAC,43333888744.384766
2022,KLAC,39680115290.2832
2023,KLAC,60909260128.17383
2020,KSS,1642840080.7971954
2021,KSS,4229901076.4694214
2022,KSS,2358344768.093109
2023,KSS,2136028956.1767578
2020,KHC,30442664633.18994
2021,KHC,39042778383.62988
2022,KHC,36886676157.15088
2023,KHC,38850238988.21484
2020,KR,22496926885.107544
2021,KR,27386704481.774902
2022,KR,30201878807.071533
2023,KR,31597862053.726074
2020,LH,13156472977.942383
2021,LH,19667273369.98584
2022,LH,14394007864.443848
2023,LH,16654154865.8833
2020,LRCX,35784375331.83154
2021,LRCX,64853674538.52344
2022,LRCX,44849451716.239746
2023,LRCX,80445846013.31543
2020,LEG,4566829584.686279
2021,LEG,5149568108.551025
2022,LEG,3994340165.2565002
2023,LEG,3242982364.929199
2020,LEN,18454116173.72168
2021,LEN,21396737695.97461
2022,LEN,17305917824.29834
2023,LEN,26445957619.616455
2020,LLY,126982871164.85938
2021,LLY,201595727255.90625
2022,LLY,286115797222.4219
2023,LLY,480417821202.78125
2020,LNC,4411582981.75
2021,LNC,10008021243.5
2022,LNC,6577599145.25
2023,LNC,3938358940.25
2020,LKQ,6832631709.091187
2021,LKQ,12398773733.73413
2022,LKQ,11842824389.648438
2023,LKQ,12689965736.114502
2020,LMT,81919130288.0249
2021,LMT,75894982450.07324
2022,LMT,87360883872.07031
2023,LMT,94911219769.65332
2020,L,7500991159.583496
2021,L,11698701788.533936
2022,L,10856945367.043945
2023,L,13849377098.674072
2020,LOW,87608561106.17188
2021,LOW,108667395144.51367
2022,LOW,102290687008.30469
2023,LOW,115516447222.54199
2020,LYB,17976709182.941772
2021,LYB,24976377030.880615
2022,LYB,22009974702.131104
2023,LYB,29194098657.24414
2020,MTB,13479730362.179932
2021,MTB,22548268246.479492
2022,MTB,27377032006.648438
2023,MTB,20362510000.744873
2020,MAC,1196514373.5722961
